#Column	separation	(F9.2)	Distance from master source to user source	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	gal_l	(F9.5)	Source position, Galactic longitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_l)	["deg"]	[pos.galactic.lon]
#Column	gal_b	(F9.5)	Source position, Galactic latitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_b)	["deg"]	[pos.galactic.lat]
#Column	err_ellipse_r0	(F9.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	conf_flag	(A5)	Source may be confused (source regions overlap in one or more contributing stacked observations)	(master_source.conf_flag)	[""]	[]
#Column	extent_flag	(A5)	Source is extended, or deconvolved source extent is inconsistent with a point source at the 90% confidence level in one or more observations and energy bands	(master_source.extent_flag)	[""]	[]
#Column	flux_aper_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_h)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_lolim_h)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_hilim_h)	["erg/s/cm^2"]	[]
#Column	hard_hm	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio	(master_source.hard_hm)	[""]	[]
#Column	hard_hm_lolim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% lower confidence limit)	(master_source.hard_hm_lolim)	[""]	[]
#Column	hard_hm_hilim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% upper confidence limit)	(master_source.hard_hm_hilim)	[""]	[]
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	["s"]	[]
separation	name	ra	dec	gal_l	gal_b	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	conf_flag	extent_flag	flux_aper_h	flux_aper_lolim_h	flux_aper_hilim_h	hard_hm	hard_hm_lolim	hard_hm_hilim	acis_time
     3.69	 2CXO J174539.7-290029	 17 45 39.78	-29 00 29.69	359.94339	 -0.04559	     0.71	     0.71	      0.0	    44.06	                TRUE	FALSE	 TRUE	3.587e-14	3.495e-14	3.672e-14	   0.9606	   0.9563	   0.9650	2240327.3
     9.84	 2CXO J174540.4-290036	 17 45 40.47	-29 00 36.22	359.94314	 -0.04866	     0.72	     0.71	     77.7	    10.97	                TRUE	FALSE	 TRUE	2.974e-15	2.607e-15	3.342e-15	   0.9469	   0.9138	   0.9788	2432305.8
    12.34	 2CXO J174540.7-290035	 17 45 40.79	-29 00 35.52	359.94392	 -0.04957	     0.72	     0.72	    162.6	     9.79	                TRUE	FALSE	 TRUE	6.375e-15	5.644e-15	7.105e-15	   0.9994	   0.9775	   1.0000	2432305.8
    12.80	 2CXO J174539.0-290029	 17 45 39.07	-29 00 29.80	359.94201	 -0.04339	     0.72	     0.72	     58.3	    26.89	                TRUE	FALSE	 TRUE	1.272e-15	9.326e-16	1.611e-15	   0.9994	   0.9288	   1.0000	2343921.9
    14.06	 2CXO J174541.1-290028	 17 45 41.11	-29 00 28.85	359.94610	 -0.04959	     0.72	     0.72	    112.4	     9.05	                TRUE	FALSE	 TRUE	3.409e-15	2.765e-15	4.053e-15	   0.9994	   0.9688	   1.0000	2414103.7
    14.70	 2CXO J174538.9-290022	 17 45 38.99	-29 00 22.84	359.94351	 -0.04214	     1.09	     1.09	      0.0	    26.41	                TRUE	FALSE	 TRUE	1.497e-15	1.211e-15	1.766e-15	   0.9432	   0.8838	   0.9863	2443420.9
    15.59	 2CXO J174538.8-290027	 17 45 38.85	-29 00 27.10	359.94224	 -0.04232	     0.71	     0.71	      0.0	    24.55	                TRUE	FALSE	 TRUE	6.753e-15	6.234e-15	7.237e-15	   0.9994	   0.9850	   1.0000	2392284.5
    18.47	 2CXO J174541.1-290038	 17 45 41.20	-29 00 38.61	359.94396	 -0.05128	     0.73	     0.72	    110.5	     5.64	                TRUE	FALSE	 TRUE	1.448e-15	9.344e-16	1.962e-15	   0.9994	   0.6814	   1.0000	2432305.8
    18.93	 2CXO J174539.4-290010	 17 45 39.50	-29 00 10.59	359.94737	 -0.04194	     0.72	     0.72	     91.9	     7.76	                TRUE	FALSE	 TRUE	1.601e-15	1.302e-15	1.882e-15	   0.9994	   0.9713	   1.0000	2432305.8
    19.08	 2CXO J174541.4-290027	 17 45 41.49	-29 00 27.03	359.94726	 -0.05051	     0.73	     0.73	    171.2	    14.53	                TRUE	FALSE	 TRUE	8.693e-15	7.974e-15	9.368e-15	   0.9994	   0.9913	   1.0000	2196512.9
    19.39	 2CXO J174540.3-290009	 17 45 40.34	-29 00 09.17	359.94931	 -0.04435	     0.72	     0.72	    118.5	     8.27	                TRUE	FALSE	 TRUE	4.559e-15	4.071e-15	5.047e-15	   0.9994	   0.9763	   1.0000	2432305.8
    21.36	 2CXO J174541.5-290020	 17 45 41.55	-29 00 20.33	359.94897	 -0.04974	     0.72	     0.72	     25.9	    13.35	                TRUE	FALSE	 TRUE	3.569e-15	3.165e-15	3.974e-15	   0.9994	   0.9700	   1.0000	2151571.9
    21.83	 2CXO J174541.7-290028	 17 45 41.70	-29 00 28.27	359.94737	 -0.05135	     0.72	     0.71	     75.6	    11.58	                TRUE	FALSE	 TRUE	3.245e-15	2.715e-15	3.775e-15	   0.9994	   0.9625	   1.0000	2001945.8
    22.00	 2CXO J174540.3-290049	 17 45 40.35	-29 00 49.76	359.93971	 -0.05026	     0.71	     0.71	      0.0	    11.03	                TRUE	FALSE	 TRUE	3.875e-15	3.523e-15	4.227e-15	   0.9994	   0.9788	   1.0000	2432305.8
    22.45	 2CXO J174540.0-290005	 17 45 40.07	-29 00 05.70	359.94962	 -0.04301	     0.71	     0.71	      3.7	    41.30	                TRUE	FALSE	 TRUE	3.284e-15	2.864e-15	3.703e-15	   0.9994	   0.9838	   1.0000	2432305.8
    23.11	 2CXO J174538.9-290010	 17 45 38.94	-29 00 10.07	359.94644	 -0.04013	     0.82	     0.78	      9.5	    25.33	                TRUE	FALSE	 TRUE	1.261e-15	1.018e-15	1.504e-15	   0.9582	   0.9051	   0.9938	2443420.9
    23.45	 2CXO J174540.3-290005	 17 45 40.32	-29 00 05.00	359.95027	 -0.04370	     0.71	     0.71	      0.0	    18.22	                TRUE	FALSE	 TRUE	9.784e-15	9.262e-15	1.027e-14	   0.9869	   0.9763	   0.9963	2432305.8
    24.02	 2CXO J174539.4-290005	 17 45 39.46	-29 00 05.34	359.94856	 -0.04107	     0.90	     0.82	     41.3	     4.50	                TRUE	FALSE	 TRUE	6.887e-16	4.512e-16	9.144e-16	   0.9082	   0.7614	   0.9950	2432305.8
    24.65	 2CXO J174540.1-290052	 17 45 40.11	-29 00 52.78	359.93853	 -0.04994	     0.72	     0.72	     66.7	    25.18	                TRUE	FALSE	 TRUE	1.433e-15	1.149e-15	1.716e-15	   0.9294	   0.8701	   0.9763	2443420.9
