#Column	separation	(F9.2)	Distance from master source to user source	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	gal_l	(F9.5)	Source position, Galactic longitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_l)	["deg"]	[pos.galactic.lon]
#Column	gal_b	(F9.5)	Source position, Galactic latitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_b)	["deg"]	[pos.galactic.lat]
#Column	err_ellipse_r0	(F9.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	conf_flag	(A5)	Source may be confused (source regions overlap in one or more contributing stacked observations)	(master_source.conf_flag)	[""]	[]
#Column	extent_flag	(A5)	Source is extended, or deconvolved source extent is inconsistent with a point source at the 90% confidence level in one or more observations and energy bands	(master_source.extent_flag)	[""]	[]
#Column	flux_aper_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_h)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_lolim_h)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_h	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS hard (2.0-7.0 keV) energy band	(master_source.flux_aper_hilim_h)	["erg/s/cm^2"]	[]
#Column	hard_hm	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio	(master_source.hard_hm)	[""]	[]
#Column	hard_hm_lolim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% lower confidence limit)	(master_source.hard_hm_lolim)	[""]	[]
#Column	hard_hm_hilim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% upper confidence limit)	(master_source.hard_hm_hilim)	[""]	[]
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	["s"]	[]
separation	name	ra	dec	gal_l	gal_b	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	conf_flag	extent_flag	flux_aper_h	flux_aper_lolim_h	flux_aper_hilim_h	hard_hm	hard_hm_lolim	hard_hm_hilim	acis_time
     0.09	 2CXO J174540.0-290028	 17 45 40.04	-29 00 28.08	359.94426	 -0.04616	     0.71	     0.71	    119.0	   107.91	                TRUE	 TRUE	 TRUE	1.091e-13	1.048e-13	1.130e-13	   0.9482	   0.9413	   0.9563	2229705.1
     2.36	 2CXO J174540.1-290029	 17 45 40.17	-29 00 29.78	359.94409	 -0.04680	     0.71	     0.71	      0.0	   337.00	                TRUE	 TRUE	 TRUE	2.357e-14	2.202e-14	2.502e-14	   0.9394	   0.9250	   0.9525	2229705.1
     3.69	 2CXO J174539.7-290029	 17 45 39.78	-29 00 29.69	359.94339	 -0.04559	     0.71	     0.71	      0.0	    44.06	                TRUE	FALSE	 TRUE	3.587e-14	3.495e-14	3.672e-14	   0.9606	   0.9563	   0.9650	2240327.3
     6.24	 2CXO J174539.8-290022	 17 45 39.83	-29 00 22.51	359.94519	 -0.04471	     0.71	     0.71	      0.0	    96.76	                TRUE	 TRUE	 TRUE	2.011e-13	1.940e-13	2.083e-13	         	         	         	2385840.2
     8.69	 2CXO J174539.8-290020	 17 45 39.80	-29 00 20.03	359.94571	 -0.04425	     0.71	     0.71	      0.0	    74.20	                TRUE	 TRUE	 TRUE	1.045e-13	1.028e-13	1.060e-13	   0.9931	   0.9913	   0.9950	2411061.5
     9.84	 2CXO J174540.4-290036	 17 45 40.47	-29 00 36.22	359.94314	 -0.04866	     0.72	     0.71	     77.7	    10.97	                TRUE	FALSE	 TRUE	2.974e-15	2.607e-15	3.342e-15	   0.9469	   0.9138	   0.9788	2432305.8
    12.34	 2CXO J174540.7-290035	 17 45 40.79	-29 00 35.52	359.94392	 -0.04957	     0.72	     0.72	    162.6	     9.79	                TRUE	FALSE	 TRUE	6.375e-15	5.644e-15	7.105e-15	   0.9994	   0.9775	   1.0000	2432305.8
    12.80	 2CXO J174539.0-290029	 17 45 39.07	-29 00 29.80	359.94201	 -0.04339	     0.72	     0.72	     58.3	    26.89	                TRUE	FALSE	 TRUE	1.272e-15	9.326e-16	1.611e-15	   0.9994	   0.9288	   1.0000	2343921.9
    13.13	 2CXO J174539.5-290039	 17 45 39.52	-29 00 39.40	359.94059	 -0.04618	     0.71	     0.71	      0.0	    26.91	                TRUE	 TRUE	 TRUE	4.183e-15	3.716e-15	4.621e-15	   0.9619	   0.9388	   0.9863	2443420.9
    14.06	 2CXO J174541.1-290028	 17 45 41.11	-29 00 28.85	359.94610	 -0.04959	     0.72	     0.72	    112.4	     9.05	                TRUE	FALSE	 TRUE	3.409e-15	2.765e-15	4.053e-15	   0.9994	   0.9688	   1.0000	2414103.7
    14.64	 2CXO J174540.2-290042	 17 45 40.28	-29 00 42.45	359.94130	 -0.04897	     0.71	     0.71	      0.0	    12.47	                TRUE	 TRUE	 TRUE	2.683e-15	2.108e-15	3.226e-15	   0.9994	   0.9263	   1.0000	2432305.8
    14.70	 2CXO J174538.9-290022	 17 45 38.99	-29 00 22.84	359.94351	 -0.04214	     1.09	     1.09	      0.0	    26.41	                TRUE	FALSE	 TRUE	1.497e-15	1.211e-15	1.766e-15	   0.9432	   0.8838	   0.9863	2443420.9
    15.31	 2CXO J174539.4-290041	 17 45 39.41	-29 00 41.02	359.93998	 -0.04605	     0.71	     0.71	      0.0	    26.59	                TRUE	 TRUE	 TRUE	5.846e-15	5.309e-15	6.383e-15	   0.9532	   0.9300	   0.9775	2443420.9
