#Column	separation	(F9.2)	Distance from master source to user source	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F9.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	hard_hm	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio	(master_source.hard_hm)	[""]	[]
#Column	hard_hm_lolim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% lower confidence limit)	(master_source.hard_hm_lolim)	[""]	[]
#Column	hard_hm_hilim	(F9.4)	ACIS hard (2.0-7.0 keV) - medium (1.2-2.0 keV) energy band photon flux hardness ratio (68% upper confidence limit)	(master_source.hard_hm_hilim)	[""]	[]
#Column	acis_time	(F9.1)	Total livetime for all ACIS imaging observations contributing to the Master Sources Table record of the source	(master_source.acis_time)	["s"]	[]
separation	name	ra	dec	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	hard_hm	hard_hm_lolim	hard_hm_hilim	acis_time
     0.09	 2CXO J174540.0-290028	 17 45 40.04	-29 00 28.08	     0.71	     0.71	    119.0	   107.91	                TRUE	   0.9482	   0.9413	   0.9563	2229705.1
     2.36	 2CXO J174540.1-290029	 17 45 40.17	-29 00 29.78	     0.71	     0.71	      0.0	   337.00	                TRUE	   0.9394	   0.9250	   0.9525	2229705.1
     3.69	 2CXO J174539.7-290029	 17 45 39.78	-29 00 29.69	     0.71	     0.71	      0.0	    44.06	                TRUE	   0.9606	   0.9563	   0.9650	2240327.3
     6.24	 2CXO J174539.8-290022	 17 45 39.83	-29 00 22.51	     0.71	     0.71	      0.0	    96.76	                TRUE	         	         	         	2385840.2
     8.69	 2CXO J174539.8-290020	 17 45 39.80	-29 00 20.03	     0.71	     0.71	      0.0	    74.20	                TRUE	   0.9931	   0.9913	   0.9950	2411061.5
     9.84	 2CXO J174540.4-290036	 17 45 40.47	-29 00 36.22	     0.72	     0.71	     77.7	    10.97	                TRUE	   0.9469	   0.9138	   0.9788	2432305.8
    12.34	 2CXO J174540.7-290035	 17 45 40.79	-29 00 35.52	     0.72	     0.72	    162.6	     9.79	                TRUE	   0.9994	   0.9775	   1.0000	2432305.8
    12.80	 2CXO J174539.0-290029	 17 45 39.07	-29 00 29.80	     0.72	     0.72	     58.3	    26.89	                TRUE	   0.9994	   0.9288	   1.0000	2343921.9
    13.13	 2CXO J174539.5-290039	 17 45 39.52	-29 00 39.40	     0.71	     0.71	      0.0	    26.91	                TRUE	   0.9619	   0.9388	   0.9863	2443420.9
    13.23	 2CXO J174540.0-290041	 17 45 40.09	-29 00 41.36	     0.71	     0.71	      0.0	     8.53	                TRUE	   0.8757	   0.8026	   0.9438	2432305.8
    14.06	 2CXO J174541.1-290028	 17 45 41.11	-29 00 28.85	     0.72	     0.72	    112.4	     9.05	                TRUE	   0.9994	   0.9688	   1.0000	2414103.7
    14.28	 2CXO J174539.7-290041	 17 45 39.76	-29 00 41.96	     0.78	     0.78	      0.0	    27.14	                TRUE	   0.7858	   0.6340	   0.8988	2443420.9
    14.64	 2CXO J174540.2-290042	 17 45 40.28	-29 00 42.45	     0.71	     0.71	      0.0	    12.47	                TRUE	   0.9994	   0.9263	   1.0000	2432305.8
    14.70	 2CXO J174538.9-290022	 17 45 38.99	-29 00 22.84	     1.09	     1.09	      0.0	    26.41	                TRUE	   0.9432	   0.8838	   0.9863	2443420.9
    15.31	 2CXO J174539.4-290041	 17 45 39.41	-29 00 41.02	     0.71	     0.71	      0.0	    26.59	                TRUE	   0.9532	   0.9300	   0.9775	2443420.9
    15.59	 2CXO J174538.8-290027	 17 45 38.85	-29 00 27.10	     0.71	     0.71	      0.0	    24.55	                TRUE	   0.9994	   0.9850	   1.0000	2392284.5
    15.60	 2CXO J174539.6-290042	 17 45 39.61	-29 00 42.70	     0.73	     0.73	    118.1	    26.89	                TRUE	   0.9994	   0.8813	   1.0000	2443420.9
    17.01	 2CXO J174541.0-290017	 17 45 41.04	-29 00 17.29	     0.71	     0.71	     15.4	     8.90	                TRUE	   0.9994	   0.9763	   1.0000	2432305.8
    17.86	 2CXO J174540.0-290046	 17 45 40.05	-29 00 46.01	     0.71	     0.71	      0.0	    10.24	                TRUE	   0.9994	   0.9400	   1.0000	2432305.8
    18.09	 2CXO J174539.1-290042	 17 45 39.20	-29 00 42.47	     0.71	     0.71	      0.0	    25.82	                TRUE	   0.8894	   0.8513	   0.9238	2454535.9
    18.65	 2CXO J174540.9-290014	 17 45 40.98	-29 00 14.20	     0.71	     0.71	    126.7	    50.09	                TRUE	   0.9919	   0.9888	   0.9950	2432305.8
    18.93	 2CXO J174539.4-290010	 17 45 39.50	-29 00 10.59	     0.72	     0.72	     91.9	     7.76	                TRUE	   0.9994	   0.9713	   1.0000	2432305.8
    19.08	 2CXO J174541.4-290027	 17 45 41.49	-29 00 27.03	     0.73	     0.73	    171.2	    14.53	                TRUE	   0.9994	   0.9913	   1.0000	2196512.9
    19.36	 2CXO J174539.4-290046	 17 45 39.47	-29 00 46.04	     0.71	     0.71	      0.0	    25.74	                TRUE	   0.9606	   0.9313	   0.9863	2443420.9
    19.39	 2CXO J174540.3-290009	 17 45 40.34	-29 00 09.17	     0.72	     0.72	    118.5	     8.27	                TRUE	   0.9994	   0.9763	   1.0000	2432305.8
    19.57	 2CXO J174539.9-290047	 17 45 39.92	-29 00 47.65	     0.71	     0.71	      0.0	    26.03	                TRUE	   0.9994	   0.8876	   1.0000	2443420.9
    19.75	 2CXO J174539.6-290047	 17 45 39.61	-29 00 47.08	     0.71	     0.71	      0.0	    25.33	                TRUE	   0.9994	   0.8051	   1.0000	2443420.9
    19.98	 2CXO J174541.1-290014	 17 45 41.16	-29 00 14.59	     0.71	     0.71	      0.0	     7.30	                TRUE	   0.9656	   0.9325	   0.9913	2432305.8
    20.52	 2CXO J174539.7-290048	 17 45 39.77	-29 00 48.36	     0.71	     0.71	      0.0	    25.94	                TRUE	   0.9157	   0.7314	   1.0000	2443420.9
    20.57	 2CXO J174538.8-290041	 17 45 38.87	-29 00 41.80	     0.71	     0.71	      0.0	    23.25	                TRUE	   0.9994	   0.9850	   1.0000	2443913.7
    21.36	 2CXO J174541.5-290020	 17 45 41.55	-29 00 20.33	     0.72	     0.72	     25.9	    13.35	                TRUE	   0.9994	   0.9700	   1.0000	2151571.9
    21.83	 2CXO J174541.7-290028	 17 45 41.70	-29 00 28.27	     0.72	     0.71	     75.6	    11.58	                TRUE	   0.9994	   0.9625	   1.0000	2001945.8
    22.00	 2CXO J174540.3-290049	 17 45 40.35	-29 00 49.76	     0.71	     0.71	      0.0	    11.03	                TRUE	   0.9994	   0.9788	   1.0000	2432305.8
    22.45	 2CXO J174540.0-290005	 17 45 40.07	-29 00 05.70	     0.71	     0.71	      3.7	    41.30	                TRUE	   0.9994	   0.9838	   1.0000	2432305.8
    23.11	 2CXO J174538.9-290010	 17 45 38.94	-29 00 10.07	     0.82	     0.78	      9.5	    25.33	                TRUE	   0.9582	   0.9051	   0.9938	2443420.9
    23.12	 2CXO J174539.2-290049	 17 45 39.28	-29 00 49.03	     0.72	     0.72	    169.9	    24.75	                TRUE	   0.9994	   0.9076	   1.0000	2454535.9
    23.45	 2CXO J174540.3-290005	 17 45 40.32	-29 00 05.00	     0.71	     0.71	      0.0	    18.22	                TRUE	   0.9869	   0.9763	   0.9963	2432305.8
    24.65	 2CXO J174540.1-290052	 17 45 40.11	-29 00 52.78	     0.72	     0.72	     66.7	    25.18	                TRUE	   0.9294	   0.8701	   0.9763	2443420.9
    24.95	 2CXO J174539.3-290051	 17 45 39.33	-29 00 51.29	     0.72	     0.72	     21.8	    24.33	                TRUE	   0.9057	   0.8526	   0.9525	2454535.9
    25.21	 2CXO J174539.6-290052	 17 45 39.67	-29 00 52.90	     1.61	     1.61	      0.0	    24.64	                TRUE	   0.9994	   0.9338	   1.0000	2443420.9
    25.40	 2CXO J174541.9-290032	 17 45 41.94	-29 00 32.80	     0.71	     0.71	      0.0	    11.10	                TRUE	   0.9994	   0.9738	   1.0000	1832669.3
    25.50	 2CXO J174541.8-290037	 17 45 41.84	-29 00 37.60	     0.71	     0.71	    167.9	    24.76	                TRUE	   0.9994	   0.9975	   1.0000	1956160.3
    26.03	 2CXO J174539.1-290004	 17 45 39.20	-29 00 04.59	     0.71	     0.71	      0.0	    25.16	                TRUE	   0.9994	   0.9725	   1.0000	2443420.9
    26.50	 2CXO J174538.4-290044	 17 45 38.42	-29 00 44.01	     0.72	     0.71	      0.6	    43.64	                TRUE	   0.9994	   0.9788	   1.0000	2346199.0
